TIMES,REGIÃO,ANO,SÉRIE,PTS,J,V,E,D,GP,GC,SG,CA,CV
Abc,Nordeste,2019,C,18,18,4,6,8,19,22,-3,55,2
América - MG,Sudeste,2019,B,61,38,17,10,11,42,34,8,77,1
América Natal,Nordeste,2019,D,14,6,4,2,0,20,1,19,18,0
Asa,Nordeste,2019,D,13,6,4,1,1,8,5,1,15,1
Atlético - GO,Centro-Oeste,2019,B,62,38,15,17,6,44,29,15,94,4
Atlético - MG,Sudeste,2019,A,48,38,13,9,16,44,49,-5,69,5
Atlético - PR,Sul,2019,A,64,38,18,10,10,51,32,19,83,2
Avaí,Sul,2019,A,20,38,3,11,24,18,62,-44,79,10
Bahia,Nordeste,2019,A,49,38,12,13,13,44,43,1,65,6
Botafogo,Sudeste,2019,A,43,38,13,4,21,31,45,-14,94,3
Botafogo - PB,Nordeste,2019,C,25,18,6,7,5,26,22,4,51,2
Brasiliense,Centro-Oeste,2019,D,12,6,3,3,0,5,2,3,11,1
Campinense,Nordeste,2019,D,7,6,2,1,3,6,5,1,15,1
Ceará,Nordeste,2019,A,39,38,10,9,19,36,41,-5,85,3
Central,Nordeste,2019,D,9,6,3,0,3,10,7,3,12,2
Chapecoense,Sul,2019,A,32,38,7,11,20,31,52,-21,79,6
Confiança,Nordeste,2019,C,26,18,7,5,6,22,22,0,49,2
Corintinhas,Sudeste,2019,A,56,38,14,14,10,42,34,8,72,2
Coritiba,Sul,2019,B,66,38,18,12,8,48,34,14,104,5
CRB,Nordeste,2019,B,55,38,15,10,13,44,43,1,94,7
Criciúma,Sul,2019,B,39,38,8,15,15,30,38,-8,110,8
Cruzeiro,Sudeste,2019,A,36,38,7,15,16,27,46,-19,81,6
CSA,Nordeste,2019,A,32,38,8,8,22,24,58,-34,90,4
Cuiabá,Centro-Oeste,2019,B,52,38,13,13,12,43,40,3,85,6
Figueirense,Sul,2019,B,41,38,7,20,11,31,38,-7,92,5
Flamengo,Sudeste,2019,A,90,38,28,6,4,86,37,49,90,3
Flamengo - PI,Nordeste,2019,S/D,0,0,0,0,0,0,0,0,0,0
Flu de Feira,Nordeste,2019,D,12,6,3,3,0,8,4,4,12,0
Fluminense,Sudeste,2019,A,46,38,12,10,16,38,46,-8,87,12
Fortaleza,Nordeste,2019,A,53,38,15,8,15,50,49,1,85,13
Gama,Centro-Oeste,2019,S/D,0,0,0,0,0,0,0,0,0,0
Goiás,Centro-Oeste,2019,A,52,38,15,7,16,46,64,-18,86,7
Grêmio,Sul,2019,A,65,38,19,8,11,64,39,25,80,2
Guarani,Sudeste,2019,B,44,38,12,8,18,27,37,-10,98,6
Guarany de Sobral,Nordeste,2019,S/D,0,0,0,0,0,0,0,0,0,0
Imperatriz,Nordeste,2019,C,29,20,8,5,7,27,26,1,38,4
Internacional,Sul,2019,A,57,38,16,9,13,44,38,6,98,3
Joinville,Sul,2019,D,7,6,2,1,3,3,4,-1,18,2
Luverdense,Centro-Oeste,2019,C,13,18,1,10,7,13,19,-6,36,4
Moto Club,Nordeste,2019,D,15,8,4,3,1,19,9,10,22,1
Náutico - PE,Nordeste,2019,C,42,24,12,6,6,34,26,8,55,4
Palmeiras,Sudeste,2019,A,74,38,21,11,6,61,32,29,78,5
Paraná,Sul,2019,B,56,38,14,14,10,34,33,1,100,5
Paysandu,Norte,2019,C,30,20,6,12,2,20,13,7,60,8
Ponte Preta,Sudeste,2019,B,47,38,11,14,13,41,39,2,111,7
Remo,Norte,2019,C,27,18,6,9,3,19,14,5,51,2
